lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   65.1200  -25.8400    0.8354    0.0000  276.8783    4.6975  278.8399  102.1245   77.0784    0.6036   14.1549  971.0273
   65.2000  -26.0500    0.4803    0.0000  276.7740    4.6790  279.0537  124.8853   98.7980    0.6582   15.1539  971.1881
   65.2700  -26.2500    0.1379    0.0000  276.5053    4.6170  279.2717  160.3360  135.8188    0.7337   16.5027  971.6072
   65.3600  -26.4300    0.0000    0.0000  276.2375    4.5501  279.3809  187.8100  166.3577    0.7854   17.4037  972.0300
   65.4500  -26.5500    0.0000    0.0000  275.8291    4.4427  279.4017  218.8642  204.8563    0.8311   18.1628  972.6057
   65.5200  -26.7700    0.0000    0.0000  275.2299    4.2853  279.4143  262.0758  260.3803    0.8873   19.0780  973.3714
   65.5700  -27.0300    0.0000    0.0000  274.6254    4.1264  279.4184  304.7029  315.9825    0.9399   19.9244  974.1124
   65.6700  -27.3600    0.0000    0.0000  274.0194    3.9653  279.2555  335.1095  360.8058    0.9779   20.5260  974.7774
