lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   65.1200  -25.8400    0.0000    0.0000  276.8610    4.8632  278.7809   83.0086   71.7386    0.6598   15.3020  970.0222
   65.2000  -26.0500    0.0000    0.0000  276.5264    4.7153  279.0294  151.8035  134.0294    0.8084   17.9125  970.4618
   65.2700  -26.2500    0.0000    0.0000  276.4192    4.6666  279.3390  202.3107  180.8982    0.9078   19.5795  971.0464
   65.3600  -26.4300    0.0000    0.0000  276.1528    4.5692  279.6401  252.0332  230.6316    0.9552   20.3144  971.7228
   65.4500  -26.5500    0.0000    0.0000  275.8003    4.4761  279.8233  291.7573  277.7484    0.9878   20.8093  972.3388
   65.5200  -26.7700    0.0000    0.0000  275.3751    4.3619  279.9560  333.2678  328.8355    1.0178   21.2563  972.9830
   65.5700  -27.0300    0.0000    0.0000  274.8340    4.1908  279.8864  367.9328  373.1637    1.0393   21.5603  973.7319
   65.6700  -27.3600    0.0000    0.0000  274.0073    3.9684  279.4377  379.6498  408.3994    1.0516   21.7527  974.8067
