lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   64.4800  -31.5900    1.8163    0.0000  273.7026    3.8060  279.4760  319.0901  343.9137    0.8656   18.6269  984.3275
   64.5700  -31.7400    1.8319    0.0000  273.2131    3.6699  279.3796  333.1609  367.4116    0.8664   18.6124  985.1108
   64.6500  -31.8900    1.7689    0.0000  272.7255    3.5351  279.2699  345.7665  389.5279    0.8662   18.5818  985.8853
   64.7400  -32.0400    1.5748    0.0000  272.3637    3.4373  279.1556  352.3641  403.4721    0.8649   18.5434  986.4180
   64.8200  -32.1900    1.2725    0.0000  272.1693    3.3863  279.0707  352.5198  407.7808    0.8605   18.4605  986.7356
   64.9100  -32.3400    1.3651    0.0354  271.6317    3.2286  278.2621  334.6668  387.8179    0.8428   18.2023  987.3241
   64.9900  -32.5100    1.6240    0.0842  270.9632    3.0302  277.1790  310.2235  358.8744    0.8203   17.8842  988.0101
   65.0800  -32.6600    2.0583    0.1430  270.2285    2.8098  275.9076  281.0219  322.7729    0.7951   17.5376  988.7158
   65.1600  -32.8100    2.5930    0.1956  269.6523    2.6337  274.8054  255.0842  288.8910    0.7749   17.2695  989.2075
   65.2500  -32.9600    3.3065    0.2494  269.1569    2.4783  273.7206  228.8241  252.4889    0.7569   17.0441  989.5488
   65.3300  -33.1100    8.5196    0.3141  268.5979    2.2998  272.4727  199.9786  211.1598    0.7354   16.7654  989.9691
   65.4200  -33.2800   21.5662    0.4046  267.8574    2.0583  270.7824  162.4429  155.5586    0.7049   16.3544  990.5834
   65.5000  -33.4400   34.1773    0.4822  267.2421    1.8574  269.3740  132.1570  109.9535    0.6797   16.0142  991.0960
   65.5900  -33.5900   47.6920    0.5604  266.6282    1.6561  267.9630  102.0247   64.3012    0.6543   15.6681  991.6163
   65.6700  -33.7500   61.4981    0.6234  266.1555    1.4985  266.8569   79.3015   28.8021    0.6337   15.3804  992.0469
   65.7600  -33.9200   71.6962    0.6394  266.0908    1.4710  266.6606   77.6671   23.4569    0.6287   15.2950  992.1721
   65.8600  -34.1300  125.8807    0.6247  265.6687    1.4097  265.9959   72.9724   13.8929    0.6206   15.1626  992.2626
   65.8800  -34.5100  192.5246    0.6140  265.1553    1.3280  265.1505   66.9037    0.7396    0.6093   14.9761  992.4163
   65.7900  -34.7200  144.1526    0.6801  265.5736    1.3379  265.5428   68.9774   -0.7214    0.6068   14.9237  992.6407
   65.7000  -34.9300  118.9487    0.6773  265.9957    1.4041  266.1530   73.3315    5.7946    0.6041   14.8114  992.7642
   65.6100  -35.1300  120.4467    0.6363  266.1169    1.4818  266.5435   75.9705   16.4889    0.5976   14.5826  992.7345
   65.5200  -35.3400  121.5465    0.5998  266.2281    1.5508  266.8941   78.3596   25.9764    0.5920   14.3852  992.7072
   65.4200  -35.5400  112.5851    0.5559  266.4041    1.6290  267.3568   79.9831   36.4427    0.5774   13.9777  992.7631
   65.3300  -35.7400   97.6879    0.5301  266.4867    1.6759  267.6256   77.9020   42.4027    0.5488   13.2828  992.9664
   65.2500  -35.9400   84.0448    0.5199  266.4922    1.6964  267.7231   74.3101   44.7612    0.5191   12.5876  993.1993
   65.1600  -36.1300   64.4609    0.5054  266.5538    1.7207  267.8985   70.8211   47.4685    0.4878   11.8579  993.4556
   65.0700  -36.3400   42.6810    0.5044  266.5457    1.7217  267.9265   65.1208   46.9112    0.4498   10.9954  993.7890
   64.9500  -36.6400   20.8490    0.5429  266.3828    1.6515  267.5504   56.0485   36.5531    0.4123   10.2174  994.1859
   64.7200  -36.6800    0.0000    0.4526  267.1282    1.8121  268.9243   67.8736   55.2264    0.4226   10.3830  994.0922
   64.6200  -36.5100    0.0000    0.3767  267.6644    1.9476  269.9549   80.1100   72.2850    0.4504   10.9325  993.8060
   64.5300  -36.3300    0.0727    0.2816  268.4991    2.1768  271.5349  105.8583  105.6522    0.4968   11.8255  993.1490
   64.4400  -36.1500    0.1653    0.1943  269.3263    2.4089  273.0949  133.1976  140.5470    0.5430   12.7063  992.4463
   64.3400  -35.9800    0.2714    0.1153  270.1357    2.6399  274.6196  161.1789  175.8715    0.5867   13.5349  991.7360
   64.2500  -35.7900    0.3936    0.0449  270.9132    2.8669  276.0753  190.0447  211.8683    0.6309   14.3669  990.9808
   64.2500  -35.6200    0.4539    0.0170  271.2089    2.9568  276.6125  203.0282  227.8576    0.6558   14.8414  990.5710
   64.0500  -35.4500    0.6229    0.0000  271.7818    3.1435  277.6803  230.2541  259.9663    0.6782   15.2211  989.9341
   63.9200  -35.2000    0.7059    0.0000  272.2656    3.3132  278.2216  240.9611  271.8786    0.6974   15.5774  989.2083
   63.8900  -35.0300    0.7391    0.0000  272.4921    3.3939  278.4342  244.9711  276.2348    0.7088   15.7938  988.8228
   63.9700  -35.1500    0.7588    0.0000  272.1731    3.2847  278.2730  249.3286  281.7898    0.7024   15.6569  989.2476
   64.0600  -35.3100    0.6592    0.0000  271.8352    3.1662  277.7624  235.3512  265.7980    0.6879   15.4041  989.7402
   64.1400  -35.5000    0.5577    0.0000  271.5989    3.0812  277.3391  220.7810  249.0118    0.6732   15.1464  990.1415
   64.2700  -35.5000    0.4795    0.0041  271.3218    2.9918  276.8098  208.6593  234.8008    0.6699   15.1127  990.3586
   64.3300  -35.3200    0.4793    0.0000  271.2780    2.9808  276.7032  209.0242  235.2855    0.6817   15.3529  990.2269
   64.3900  -35.1500    0.4583    0.0000  271.1619    2.9464  276.4657  205.7615  231.4387    0.6884   15.4961  990.2011
   64.4400  -34.9700    0.4073    0.0000  271.0187    2.8976  276.1985  198.3478  222.8655    0.6845   15.4380  990.3634
   64.5000  -34.7900    0.3430    0.0000  270.8529    2.8424  275.9049  190.9460  214.5099    0.6812   15.3933  990.5339
   64.5600  -34.6100    0.2564    0.0000  270.7495    2.8207  275.8663  197.0972  223.6048    0.6912   15.5708  990.4821
   64.6100  -34.4300    0.1858    0.0000  270.6939    2.8155  275.9196  205.9277  235.8338    0.7027   15.7717  990.3731
   64.6700  -34.2500    0.1107    0.0000  270.6444    2.8143  276.0053  216.6411  250.5098    0.7161   16.0048  990.2341
   64.7300  -34.0700    0.0385    0.0000  270.6212    2.8238  276.1598  230.1934  268.7238    0.7319   16.2769  990.0438
   64.7800  -33.8900    0.0000    0.0000  270.6826    2.8612  276.4613  247.3080  290.9157    0.7490   16.5676  989.7695
   64.8400  -33.7100    0.0000    0.0000  270.8187    2.9209  276.8656  265.5603  313.9528    0.7652   16.8366  989.4506
   64.9000  -33.5300    0.0929    0.0070  270.8940    2.9619  277.1393  280.8729  332.8555    0.7795   17.0833  989.1682
   64.9500  -33.3500    0.5834    0.0440  270.7087    2.9231  276.8547  283.6371  334.1045    0.7855   17.2351  989.0392
   65.0000  -33.1600    1.0888    0.0821  270.5029    2.8766  276.5173  284.4916  332.8753    0.7900   17.3622  988.9410
   65.0700  -32.9200    1.8275    0.1378  270.1614    2.7907  275.9029  280.2647  324.1678    0.7916   17.4672  988.8936
   65.0500  -32.5600    1.9466    0.1202  270.5445    2.9034  276.4138  292.4065  336.1446    0.8057   17.6881  988.3884
   64.9100  -32.4000    1.2929    0.0380  271.5471    3.2052  278.1819  333.2145  387.1657    0.8402   18.1600  987.4444
   64.8200  -32.2000    1.2535    0.0000  272.1586    3.3835  279.0659  352.4897  407.9811    0.8602   18.4549  986.7540
   64.7300  -32.0100    1.6326    0.0000  272.4039    3.4479  279.1729  352.2555  402.5073    0.8657   18.5586  986.3541
   64.6300  -31.8400    1.8122    0.0000  272.8669    3.5740  279.3043  342.5330  383.5142    0.8668   18.5993  985.6550
   64.4900  -31.6400    1.7672    0.0000  273.6154    3.7820  279.4558  320.7543  347.2826    0.8644   18.6017  984.4885
