lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   67.0500  -22.8200    1.5961    0.0000  263.8552    2.0611  277.0680  250.5793  467.3388    0.6073   13.4512 1009.9785
   67.1900  -22.9500    0.0483    0.0000  263.1827    1.9733  276.6465  243.7861  473.8266    0.6016   13.3527 1010.4270
   67.2500  -23.6300    0.3800    0.0000  262.4961    1.8418  275.4027  223.2655  459.8901    0.6076   13.5089 1010.8097
   67.1400  -23.8700    0.8514    0.0000  262.9272    1.8866  275.4288  224.0071  452.0007    0.6187   13.7317 1010.4952
   67.0300  -24.1000    1.0835    0.0000  263.7083    1.9807  275.7389  229.2815  443.8723    0.6342   14.0393 1009.9436
   66.9200  -24.3100    0.7921    0.0000  264.3389    2.0641  276.1458  235.8087  440.9962    0.6440   14.2322 1009.5059
   66.8100  -24.5200    0.0907    0.0000  264.5819    2.0539  276.4631  266.4460  475.2855    0.6650   14.5941 1009.0450
   66.6900  -24.6900    0.0000    0.0000  264.7195    1.9890  276.9646  329.2869  550.9552    0.7015   15.1942 1008.3801
   66.5600  -24.8600    0.0000    0.0000  264.8120    1.8981  277.4563  399.4752  637.2939    0.7428   15.8692 1007.6215
   66.4300  -25.0300    0.0000    0.0000  264.8682    1.8416  277.6890  438.8060  685.2094    0.7671   16.2735 1007.1240
   66.3000  -25.1800    0.0000    0.0000  265.4617    1.9173  277.9378  448.8932  677.0532    0.7787   16.5248 1006.4178
   66.1800  -25.3800    0.0000    0.0000  266.3406    2.0199  278.3177  462.7617  661.8499    0.7923   16.8019 1005.5158
   66.0600  -25.6000    0.0000    0.0000  267.0398    2.0975  278.6514  474.3747  649.7240    0.8015   16.9742 1004.8885
   65.9500  -25.7900    0.0000    0.0000  267.4236    2.1812  278.8682  478.9166  645.1050    0.8076   17.0860 1004.5115
   65.8200  -25.9600    0.1800    0.0000  268.1587    2.3643  279.2933  489.2917  642.4675    0.8255   17.4384 1003.5994
   65.6900  -26.1200    0.2026    0.0000  268.6550    2.5041  279.6377  499.5068  646.8232    0.8405   17.7474 1002.9113
   65.5600  -26.2900    0.0000    0.0000  269.1451    2.6227  279.7968  502.5200  640.6754    0.8572   18.0739 1002.1826
   65.4400  -26.4600    0.0000    0.0000  269.5190    2.7041  279.7110  497.1079  627.2228    0.8750   18.4164 1001.4441
   65.3100  -26.6200    0.0000    0.0000  270.0913    2.8303  279.7224  492.8001  609.4424    0.8952   18.8160 1000.5366
   65.1500  -26.8300    0.0193    0.0000  270.4980    2.9231  279.7394  486.5095  593.0000    0.9059   19.0347  999.9648
