lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   65.2900  -25.9100    0.7018    0.0000  277.0043    4.6706  279.1543   88.5196   67.6600    0.5084   12.2638  982.0413
   65.3600  -26.1500    0.1196    0.0000  276.8525    4.6449  279.4430  118.9469   97.2693    0.5901   13.8245  982.3495
   65.4400  -26.3800    0.0000    0.0000  276.6405    4.5871  279.4977  139.0926  117.5163    0.6387   14.7338  982.6122
   65.5100  -26.6000    0.0000    0.0000  276.2812    4.4928  279.4658  167.5811  149.2399    0.7043   15.9126  982.9875
   65.5800  -26.8300    0.0000    0.0000  275.8965    4.3957  279.4292  198.5058  184.4612    0.7767   17.2080  983.3906
   65.6200  -27.1300    0.0000    0.0000  275.7275    4.3629  279.4195  213.7673  203.3841    0.8165   17.9131  983.5798
   65.7000  -27.3100    0.0000    0.0000  275.3853    4.2697  279.2884  234.3102  228.5723    0.8583   18.6334  983.8702
   65.8000  -27.4500    0.0000    0.0000  274.7078    4.0803  278.5966  234.4995  239.7140    0.8929   19.2234  984.3224
   65.9100  -27.7400    0.0000    0.0000  273.5667    3.7692  277.2952  223.7033  245.4330    0.9390   20.0084  985.0402
   65.9200  -28.2300    0.0000    0.0000  272.7840    3.5572  276.3594  212.6787  244.9921    0.9668   20.4853  985.5022
   65.8100  -28.4500    0.0000    0.0000  273.4381    3.7284  277.1231  218.2866  243.5701    0.9397   20.0284  985.0815
   65.7000  -28.6500    0.0000    0.0000  273.7737    3.8113  277.3856  212.4846  230.8402    0.9122   19.5645  984.7921
   65.5900  -28.8500    0.0000    0.0000  274.2592    3.9285  277.6673  199.7784  206.8564    0.8739   18.9226  984.3467
   65.4600  -29.1000    0.0000    0.0000  274.9279    4.0889  278.0489  183.0721  175.3233    0.8275   18.1497  983.7493
   65.3000  -29.1400    0.0000    0.0000  275.4109    4.2197  278.4418  177.2991  162.5572    0.8028   17.7306  983.3784
   65.2100  -28.9500    0.0000    0.0000  276.1340    4.4378  279.0078  162.1523  141.6049    0.7514   16.8238  982.7578
   65.1400  -28.7400    0.0000    0.0000  276.7202    4.6133  279.4669  150.2772  124.9932    0.7077   16.0478  982.2318
   65.0700  -28.5200    0.0000    0.0000  277.0171    4.7057  279.6081  137.1912  110.5371    0.6804   15.5665  981.9304
   65.0100  -28.3100    0.0000    0.0000  277.3336    4.7999  279.6789  117.2613   90.0840    0.6330   14.7035  981.5642
   64.9100  -28.0300    0.0000    0.0000  277.7602    4.9239  279.7688   89.9623   62.1914    0.5623   13.4061  981.0649
   64.8700  -27.6900    0.0000    0.0000  277.8051    4.9307  279.7720   85.9753   58.5138    0.5383   12.9407  981.0138
   64.9400  -27.5200    0.0044    0.0000  277.7204    4.9133  279.8039   90.9978   64.4078    0.5530   13.2115  981.2334
   64.9900  -27.3200    0.0247    0.0000  277.6632    4.8968  279.7973   92.6268   66.8317    0.5545   13.2180  981.3691
   65.0300  -27.1200    0.0378    0.0000  277.5826    4.8706  279.7473   91.9059   67.1129    0.5471   13.0601  981.5219
   65.0500  -26.8800    0.0550    0.0000  277.5416    4.8493  279.6659   87.2412   63.2692    0.5240   12.6023  981.5719
   65.0800  -26.6500    0.0570    0.0000  277.4885    4.8282  279.5941   83.8479   60.5458    0.5084   12.3006  981.6425
   65.1500  -26.3600    0.1058    0.0000  277.3858    4.7986  279.5018   82.4351   59.6757    0.5061   12.2746  981.7628
   65.2600  -26.2100    0.1950    0.0000  277.1259    4.7231  279.4211   95.9015   73.9155    0.5375   12.8515  982.0419
   65.3500  -26.3300    0.0000    0.0000  276.8983    4.6643  279.5213  119.9998   97.9719    0.5982   13.9962  982.3504
   65.4400  -26.4800    0.0000    0.0000  276.6280    4.5865  279.5020  140.7083  119.6080    0.6439   14.8264  982.6311
   65.5300  -26.6700    0.0000    0.0000  276.1775    4.4671  279.4594  176.1500  158.9644    0.7249   16.2815  983.0991
   65.6100  -26.8700    0.0000    0.0000  275.7349    4.3512  279.3974  210.1458  197.6092    0.8011   17.6402  983.5446
   65.6800  -27.0900    0.0000    0.0000  275.5269    4.3007  279.3438  225.4547  216.5666    0.8345   18.2191  983.7386
   65.7600  -27.3000    0.0000    0.0000  274.9958    4.1604  278.9171  236.8796  237.1335    0.8802   19.0058  984.1396
   65.8400  -27.5100    0.0000    0.0000  274.4854    4.0187  278.3537  233.1243  242.0957    0.9031   19.3961  984.4675
   65.9400  -27.8100    0.0000    0.0000  273.1738    3.6631  276.8411  219.6805  246.5858    0.9541   20.2650  985.2860
   65.2900  -28.4400    0.0000    0.0000  276.3258    4.4888  279.4450  178.6810  153.8887    0.7536   16.8515  982.7400
   65.3600  -28.6600    0.0000    0.0000  275.8394    4.3419  279.0634  189.9064  169.4257    0.7886   17.4639  983.1200
   65.4600  -28.9300    0.0000    0.0000  275.2005    4.1678  278.4022  188.4827  177.9386    0.8204   18.0187  983.5859
