lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   65.2900  -25.9100    0.0000    0.0000  276.2207    4.4218  279.2207  168.0645  140.7555    0.7218   16.2930  981.7929
   65.3600  -26.1500    0.0000    0.0000  276.0588    4.4551  279.5061  196.9933  178.9877    0.7824   17.3582  982.1280
   65.4400  -26.3800    0.0000    0.0000  275.9377    4.4316  279.7785  227.6743  211.6687    0.8200   17.9846  982.5145
   65.5100  -26.6000    0.0000    0.0000  275.8151    4.3738  279.9698  255.7953  237.6519    0.8447   18.3719  982.8380
   65.5800  -26.8300    0.0000    0.0000  275.5432    4.3157  279.9482  268.4143  257.7375    0.8595   18.6077  983.2381
   65.6200  -27.1300    0.0000    0.0000  275.4384    4.2892  279.8073  267.0393  259.1762    0.8685   18.7683  983.4503
   65.7000  -27.3100    0.0000    0.0000  275.0240    4.1621  279.3381  264.2212  263.5268    0.8875   19.1034  983.8721
   65.8000  -27.4500    0.0000    0.0000  274.3181    3.9553  278.5539  253.7176  265.3002    0.9030   19.3774  984.4426
   65.9100  -27.7400    0.0000    0.0000  273.1742    3.6350  277.2464  229.5147  258.3384    0.9084   19.4995  985.2461
   65.9200  -28.2300    0.0000    0.0000  272.5138    3.4451  276.3730  209.9729  243.5805    0.9026   19.4072  985.6642
   65.8100  -28.4500    0.0000    0.0000  273.1729    3.6221  277.1507  219.6029  244.9049    0.8871   19.1289  985.2465
   65.7000  -28.6500    0.0000    0.0000  273.7327    3.7754  277.6943  222.3559  239.4375    0.8758   18.9343  984.8822
   65.5900  -28.8500    0.0000    0.0000  274.2816    3.9178  278.0072  214.4524  220.6666    0.8630   18.7353  984.4754
   65.4600  -29.1000    0.0000    0.0000  274.8416    4.0758  278.1786  195.2463  191.8105    0.8443   18.4471  983.9553
   65.3000  -29.1400    0.0000    0.0000  275.7317    4.3301  278.6959  180.4769  163.3342    0.8187   18.0337  983.1115
   65.2100  -28.9500    0.0000    0.0000  276.2230    4.5064  279.1654  177.6708  157.7993    0.8029   17.7678  982.5576
   65.1400  -28.7400    0.0000    0.0000  276.4981    4.5920  279.4523  180.5045  156.9071    0.7976   17.6785  982.1450
   65.0700  -28.5200    0.0000    0.0000  276.8161    4.6913  279.6344  172.4591  145.1968    0.7794   17.3684  981.6711
   65.0100  -28.3100    0.0000    0.0000  276.9033    4.7622  279.7157  162.8069  140.4283    0.7605   17.0281  981.3858
   64.9100  -28.0300    0.0000    0.0000  277.1646    4.8124  279.7747  149.7372  122.0992    0.7221   16.3519  980.9103
   64.8700  -27.6900    0.0000    0.0000  277.6600    4.9414  279.7523  108.4994   79.5787    0.6742   15.5573  980.6722
   64.9400  -27.5200    0.0000    0.0000  277.5035    4.8989  279.7026  114.4538   86.9076    0.6882   15.8070  980.8724
   64.9900  -27.3200    0.0000    0.0000  277.3491    4.8383  279.6665  114.4420   87.6928    0.6951   15.8861  980.9796
   65.0300  -27.1200    0.0000    0.0000  277.1623    4.7633  279.6603  135.7398  106.3806    0.6952   15.8919  981.0994
   65.0500  -26.8800    0.0000    0.0000  277.3897    4.8601  279.6081  107.3344   81.9076    0.6792   15.6483  981.1176
   65.0800  -26.6500    0.0000    0.0000  277.0563    4.6992  279.5631  133.7328  103.3467    0.6813   15.6224  981.1898
   65.1500  -26.3600    0.0000    0.0000  276.9224    4.6707  279.4622  131.3120  104.1261    0.6866   15.7179  981.3883
   65.2600  -26.2100    0.0000    0.0000  276.4062    4.5290  279.4576  170.3511  146.1372    0.7409   16.6380  981.7662
   65.3500  -26.3300    0.0000    0.0000  276.1318    4.4982  279.6956  204.0670  187.3050    0.7900   17.4837  982.1454
   65.4400  -26.4800    0.0000    0.0000  275.9775    4.4406  279.9091  236.3381  218.8433    0.8268   18.0890  982.5596
   65.5300  -26.6700    0.0000    0.0000  275.7320    4.3527  280.0045  263.2837  246.7533    0.8510   18.4718  982.9745
   65.6100  -26.8700    0.0000    0.0000  275.4682    4.2970  279.8900  269.0987  260.3275    0.8635   18.6760  983.3387
   65.6800  -27.0900    0.0000    0.0000  275.1854    4.2119  279.5690  268.7411  265.2288    0.8814   18.9914  983.6920
   65.7600  -27.3000    0.0000    0.0000  274.7036    4.0685  279.0041  261.9282  267.0411    0.8981   19.2880  984.1259
   65.8400  -27.5100    0.0000    0.0000  274.0447    3.8790  278.2497  248.5597  264.8678    0.9061   19.4351  984.6428
   65.9400  -27.8100    0.0000    0.0000  272.9218    3.5640  276.9393  223.8871  255.4170    0.9092   19.5097  985.4088
   65.2900  -28.4400    0.0000    0.0000  276.1877    4.4982  279.4698  195.3208  176.0550    0.8030   17.7231  982.7295
   65.3600  -28.6600    0.0000    0.0000  275.8839    4.3997  279.1456  191.7467  176.2170    0.8065   17.7874  983.1611
   65.4600  -28.9300    0.0000    0.0000  275.0772    4.1518  278.4910  199.3232  193.9223    0.8371   18.3119  983.8386
