lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   65.2900  -25.9100    0.0000    0.0000  276.7931    4.6278  279.1429   98.1474   77.5382    0.5844   13.8043  981.9460
   65.3600  -26.1500    0.0000    0.0000  276.4796    4.5562  279.5367  153.9179  132.4386    0.6888   15.6982  982.2083
   65.4400  -26.3800    0.0000    0.0000  276.1924    4.4744  279.7594  196.8178  175.3777    0.7482   16.7252  982.4073
   65.5100  -26.6000    0.0000    0.0000  276.0100    4.4443  279.8688  220.0542  202.8910    0.7873   17.3966  982.6917
   65.5800  -26.8300    0.0000    0.0000  275.7245    4.3723  279.8658  241.4247  229.3650    0.8218   17.9792  983.0670
   65.6200  -27.1300    0.0000    0.0000  275.4025    4.2652  279.6151  251.3965  242.8902    0.8481   18.4263  983.4155
   65.7000  -27.3100    0.0000    0.0000  275.0280    4.1438  279.3188  258.2385  254.5733    0.8671   18.7504  983.8046
   65.8000  -27.4500    0.0000    0.0000  274.4190    3.9695  278.6063  248.2863  254.6461    0.8829   19.0209  984.3040
   65.9100  -27.7400    0.0000    0.0000  273.3218    3.6677  277.2118  221.6549  244.9272    0.9036   19.3961  985.1055
   65.9200  -28.2300    0.0000    0.0000  272.6774    3.4916  276.2606  199.4053  227.9215    0.9088   19.5164  985.4758
   65.8100  -28.4500    0.0000    0.0000  273.4066    3.6869  277.1728  215.5541  236.1053    0.9007   19.3581  984.9032
   65.7000  -28.6500    0.0000    0.0000  273.8329    3.7954  277.5243  215.0031  227.1163    0.8883   19.1614  984.5189
   65.5900  -28.8500    0.0000    0.0000  274.4331    3.9453  278.0065  213.7795  214.2928    0.8724   18.9119  984.0065
   65.4600  -29.1000    0.0000    0.0000  275.0231    4.1066  278.2825  198.0278  188.4113    0.8474   18.5066  983.4402
   65.3000  -29.1400    0.0000    0.0000  275.7314    4.3168  278.7048  183.4359  164.1373    0.8187   18.0322  982.7572
   65.2100  -28.9500    0.0000    0.0000  276.3085    4.5048  279.1071  172.5691  148.0909    0.7928   17.5931  982.1802
   65.1400  -28.7400    0.0000    0.0000  276.7345    4.6534  279.4566  164.7234  137.6823    0.7676   17.1590  981.7369
   65.0700  -28.5200    0.0000    0.0000  276.9335    4.7218  279.6280  159.3943  131.4931    0.7460   16.7774  981.4467
   65.0100  -28.3100    0.0000    0.0000  277.1585    4.8049  279.7177  144.4871  117.3206    0.7202   16.3264  981.1581
   64.9100  -28.0300    0.0000    0.0000  277.6241    4.9947  279.7921  108.0623   84.7865    0.6790   15.6319  980.6575
   64.8700  -27.6900    0.0000    0.0000  277.7856    5.0494  279.7614   91.7716   69.5892    0.6470   15.0607  980.4725
   64.9400  -27.5200    0.0000    0.0000  277.6399    4.9954  279.7476   97.5742   75.6277    0.6581   15.2568  980.7969
   64.9900  -27.3200    0.0000    0.0000  277.4888    4.9323  279.6910   99.6488   78.0252    0.6495   15.0815  981.0752
   65.0300  -27.1200    0.0000    0.0000  277.4231    4.9019  279.6434   98.6294   77.1548    0.6348   14.7993  981.1403
   65.0500  -26.8800    0.0000    0.0000  277.3195    4.8521  279.6111  104.2629   82.0667    0.6211   14.5164  981.1854
   65.0800  -26.6500    0.0000    0.0000  277.2641    4.8228  279.5269   99.7688   78.0200    0.6011   14.1329  981.2781
   65.1500  -26.3600    0.0000    0.0000  277.1515    4.7820  279.4804   98.4470   77.5459    0.6053   14.2189  981.5262
   65.2600  -26.2100    0.0000    0.0000  276.8647    4.6778  279.4775  119.7796   98.4040    0.6319   14.6748  981.8091
   65.3500  -26.3300    0.0000    0.0000  276.5061    4.5713  279.6741  164.0126  141.9351    0.7038   15.9613  982.1193
   65.4400  -26.4800    0.0000    0.0000  276.2250    4.4913  279.8479  201.8806  180.3855    0.7555   16.8529  982.3932
   65.5300  -26.6700    0.0000    0.0000  275.9262    4.4262  279.8977  228.8581  213.3743    0.8013   17.6337  982.8116
   65.6100  -26.8700    0.0000    0.0000  275.5592    4.3202  279.7630  246.1216  236.3109    0.8313   18.1366  983.2509
   65.6800  -27.0900    0.0000    0.0000  275.1301    4.1805  279.4452  257.0253  252.5381    0.8582   18.5933  983.7123
   65.7600  -27.3000    0.0000    0.0000  274.7050    4.0526  278.9713  254.1894  256.1857    0.8748   18.8811  984.0905
   65.8400  -27.5100    0.0000    0.0000  274.0128    3.8577  278.1022  238.9969  251.9478    0.8908   19.1624  984.6139
   65.9400  -27.8100    0.0000    0.0000  273.0716    3.6012  276.8871  214.7364  241.4059    0.9062   19.4481  985.2830
   65.2900  -28.4400    0.0000    0.0000  276.2739    4.5069  279.4493  194.1047  171.1158    0.8051   17.7721  982.3638
   65.3600  -28.6600    0.0000    0.0000  275.9211    4.3854  279.1472  198.9949  178.5708    0.8225   18.0723  982.7065
   65.4600  -28.9300    0.0000    0.0000  275.0249    4.1087  278.3219  200.3466  191.0189    0.8489   18.5294  983.4528
