lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   63.9200  -35.2000    0.0000    0.0000  273.2889    3.2962  278.3102  276.1333  257.2914    0.7646   16.9011  989.2762
   63.8900  -35.0300    0.0000    0.0000  273.6465    3.4369  278.5066  268.1457  249.0682    0.7655   16.9319  988.7351
   63.9700  -35.1500    0.0000    0.0000  273.2197    3.2664  278.3463  282.7004  263.6702    0.7669   16.9335  989.3477
   64.0600  -35.3100    0.0000    0.0000  272.6533    3.0870  277.9778  283.2796  269.7621    0.7566   16.7292  990.0025
   64.1400  -35.5000    0.0000    0.0000  271.9973    2.8892  277.5580  281.7516  275.5757    0.7416   16.4352  990.6772
   64.2700  -35.5000    0.0000    0.0000  271.6417    2.8381  277.0042  245.6787  246.9965    0.7149   15.9804  991.1629
   64.3300  -35.3200    0.0000    0.0000  271.6744    2.8805  276.8562  229.4955  232.8271    0.7098   15.9084  991.1113
   64.3900  -35.1500    0.0000    0.0000  271.6019    2.8677  276.8397  235.6701  241.3337    0.7164   16.0197  990.9304
   64.4400  -34.9700    0.0000    0.0000  271.5127    2.8224  276.9245  255.4893  261.3498    0.7302   16.2466  990.7232
   64.5000  -34.7900    0.0000    0.0000  271.6053    2.8719  276.8659  244.6178  250.6366    0.7309   16.2793  990.6042
   64.5600  -34.6100    0.0000    0.0000  271.4846    2.8356  276.8077  251.5762  258.8277    0.7394   16.4282  990.4455
   64.6100  -34.4300    0.0000    0.0000  271.3061    2.7636  276.8687  272.2791  280.8677    0.7510   16.6077  990.3087
   64.6700  -34.2500    0.0000    0.0000  271.2608    2.7667  276.9116  277.4230  288.6958    0.7577   16.7204  990.1742
   64.7300  -34.0700    0.0000    0.0000  271.1379    2.7563  276.9538  286.4217  302.9972    0.7697   16.9238  990.0388
   64.7800  -33.8900    0.0000    0.0000  270.9893    2.7211  276.9039  291.9526  311.9779    0.7777   17.0613  990.0331
   64.8400  -33.7100    0.0000    0.0000  270.8193    2.6989  277.0011  304.0703  331.1412    0.7864   17.1967  989.9663
   64.9000  -33.5300    0.0000    0.0000  270.8213    2.7565  277.2414  312.8174  349.1691    0.7967   17.3618  989.7502
   64.9500  -33.3500    0.0000    0.0000  270.5394    2.7405  277.0575  307.7282  355.9895    0.7992   17.3998  989.8176
   65.0000  -33.1600    0.0000    0.0000  270.2922    2.7041  276.9990  313.2386  370.2439    0.8052   17.4907  989.7910
   65.0700  -32.9200    0.0000    0.0000  270.1586    2.6678  277.1761  332.1556  394.0860    0.8166   17.6712  989.6129
   65.0500  -32.5600    0.0000    0.0000  270.5609    2.7871  277.7352  350.1449  410.3465    0.8307   17.9093  988.9749
   64.9100  -32.4000    0.0000    0.0000  271.5368    3.1189  278.6998  357.0426  410.4548    0.8349   17.9867  988.0137
   64.8200  -32.2000    0.0000    0.0000  272.1163    3.3217  279.2744  360.7552  409.9267    0.8364   18.0136  987.3782
   64.7300  -32.0100    0.0000    0.0000  272.5842    3.4829  279.5471  354.8019  399.2779    0.8385   18.0664  986.6906
   64.6300  -31.8400    0.0000    0.0000  273.1342    3.6704  279.7416  338.7643  377.3405    0.8372   18.0720  985.9933
   64.4900  -31.6400    0.0000    0.0000  273.8576    3.8810  279.7215  304.7281  330.8813    0.8306   18.0150  985.0856
