lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   64.4800  -31.5900    0.0000    0.0000  273.9723    3.9098  279.7085  299.8799  323.4763    0.8304   18.0226  984.9158
   64.5700  -31.7400    0.0000    0.0000  273.4899    3.7819  279.7812  324.2565  357.7207    0.8353   18.0637  985.5669
   64.6500  -31.8900    0.0000    0.0000  273.0521    3.6414  279.7218  341.8672  381.1902    0.8375   18.0717  986.0994
   64.7400  -32.0400    0.0000    0.0000  272.5073    3.4555  279.5062  356.1285  401.2471    0.8381   18.0572  986.8070
   64.8200  -32.1900    0.0000    0.0000  272.1237    3.3247  279.2827  360.9239  410.0852    0.8366   18.0171  987.3613
   64.9100  -32.3400    0.0000    0.0000  271.5207    3.1164  278.6873  356.9324  410.8831    0.8353   17.9926  987.9951
   64.9900  -32.5100    0.0000    0.0000  270.8583    2.8884  278.0313  352.5825  410.8457    0.8326   17.9429  988.6698
   65.0800  -32.6600    0.0000    0.0000  270.3347    2.7259  277.4770  343.5170  405.8791    0.8256   17.8209  989.2401
   65.1600  -32.8100    0.0000    0.0000  269.5128    2.5550  276.5221  315.0996  391.2822    0.8113   17.5765  989.8824
   65.2500  -32.9600    0.0000    0.0000  268.6505    2.3665  275.4226  282.1971  368.6104    0.7920   17.2503  990.5201
   65.3300  -33.1100    0.0000    0.0384  268.1848    2.2053  274.3958  254.4751  327.7977    0.7687   16.9232  991.0128
   65.4200  -33.2800    0.0000    0.1976  267.4870    1.9413  271.8307  178.0512  206.8492    0.7154   16.2943  991.7719
   65.5000  -33.4400    0.0000    0.3297  266.9639    1.7823  269.8836  119.6990  119.3102    0.6665   15.6281  992.2810
   65.5900  -33.5900    0.0000    0.4181  266.3460    1.6747  268.6137   95.3136   86.6539    0.6176   14.7196  992.7683
   65.6700  -33.7500    0.0000    0.5273  265.5019    1.5457  267.1070   71.1826   56.4700    0.5577   13.5447  993.3533
   65.7600  -33.9200    0.1546    0.5804  265.0448    1.4749  266.3600   60.1965   43.0737    0.5198   12.7544  993.7446
   65.8600  -34.1300    0.5272    0.6804  264.4851    1.3580  265.1579   48.3813   21.2053    0.4701   11.6785  994.2511
   65.8800  -34.5100    0.0798    0.7135  264.5187    1.3266  264.8588   42.3292   13.0076    0.4151   10.4366  994.6319
   65.7900  -34.7200    0.0752    0.6510  264.9777    1.3907  265.6664   43.5854   20.9954    0.3880    9.7876  994.7139
   65.7000  -34.9300    0.1801    0.6600  265.1275    1.3951  265.7400   41.6360   16.2308    0.3796    9.6141  994.7759
   65.6100  -35.1300    0.3253    0.6427  265.1203    1.4153  265.8324   42.6180   20.9672    0.3685    9.3428  994.7946
   65.5200  -35.3400    0.1556    0.7044  264.5766    1.3499  265.0981   34.0964   13.6343    0.3312    8.4736  994.9671
   65.4200  -35.5400    0.0000    0.6214  265.0421    1.4385  266.0936   41.3403   26.3549    0.3494    8.8728  994.8946
   65.3300  -35.7400    0.0000    0.6330  264.7209    1.4037  265.7938   40.6172   26.4752    0.3478    8.8217  994.9943
   65.2500  -35.9400    0.0359    0.6852  264.2104    1.3239  265.0264   35.4328   19.7567    0.3303    8.4234  995.1451
   65.1600  -36.1300    0.0794    0.5815  265.0101    1.4243  266.3181   46.1317   32.6451    0.3668    9.2567  995.0368
   65.0700  -36.3400    0.0459    0.6087  265.0581    1.3952  266.1403   44.2019   26.4820    0.3624    9.1772  995.2122
   64.9500  -36.6400    0.0000    0.4852  265.5834    1.4709  267.2969   57.7172   44.3434    0.3915    9.7974  995.1751
   64.7200  -36.6800    0.0000    0.1604  267.3777    1.9128  271.0569   95.1121  107.2649    0.4828   11.6383  994.6497
   64.6200  -36.5100    0.0000    0.0000  268.2608    2.2339  273.0371  113.3811  145.6550    0.5298   12.5096  994.1934
   64.5300  -36.3300    0.0000    0.0000  269.0517    2.4076  273.8731  124.1089  153.8253    0.5579   13.0669  993.6583
   64.4400  -36.1500    0.0000    0.0000  270.0198    2.6231  274.8960  137.8672  163.9009    0.5930   13.7570  993.0071
   64.3400  -35.9800    0.0000    0.0000  270.8326    2.8041  275.7111  152.6241  172.7925    0.6283   14.4407  992.4489
   64.2500  -35.7900    0.0000    0.0000  271.5129    2.8887  276.7263  207.1382  216.7066    0.6843   15.4468  991.6685
   64.2500  -35.6200    0.0000    0.0000  271.6533    2.8601  277.0282  239.8674  243.0719    0.7101   15.8948  991.2620
   64.0500  -35.4500    0.0000    0.0000  272.4602    3.0188  277.8153  282.5613  269.9908    0.7531   16.6623  990.2859
