lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   67.0500  -22.8200    0.0000    0.0000  264.4286    1.8026  277.5591  462.0890  741.5771    0.8019   16.8765 1006.8765
   67.1900  -22.9500    0.0000    0.0000  263.0829    1.6713  276.6863  444.1833  781.0003    0.8094   17.0143 1007.7634
   67.2500  -23.6300    0.0024    0.0000  262.5840    1.6011  275.3799  410.9374  766.9961    0.8360   17.5568 1007.8945
   67.1400  -23.8700    0.0463    0.0000  263.6539    1.7177  276.0513  436.7021  760.1795    0.8543   17.8709 1007.0837
   67.0300  -24.1000    0.0424    0.0000  264.3145    1.7838  276.2045  441.2542  741.2358    0.8672   18.1115 1006.5518
   66.9200  -24.3100    0.0000    0.0000  265.4369    1.8903  276.2573  435.8058  686.7421    0.8821   18.4436 1005.5972
   66.8100  -24.5200    0.0000    0.0000  266.0924    1.9670  276.4753  443.4309  670.4082    0.8960   18.7169 1005.0005
   66.6900  -24.6900    0.0000    0.0000  267.0347    2.0845  276.9889  463.3748  657.3174    0.9148   19.0714 1004.1322
   66.5600  -24.8600    0.0665    0.0000  267.8780    2.1941  277.4387  489.0331  652.8371    0.9423   19.5451 1003.2182
   66.4300  -25.0300    0.0889    0.0000  268.5729    2.2825  277.8186  512.7354  651.5470    0.9677   19.9755 1002.4700
   66.3000  -25.1800    0.1481    0.0000  269.2910    2.4914  278.3838  528.3553  658.1786    0.9913   20.4271 1001.3794
   66.1800  -25.3800    0.0135    0.0000  269.6499    2.6556  278.6656  524.5480  660.0286    1.0017   20.6147 1000.7591
   66.0600  -25.6000    0.0000    0.0000  270.0695    2.8328  278.8711  515.1377  653.8223    1.0147   20.8407  999.8824
   65.9500  -25.7900    0.0000    0.0000  270.2294    2.9126  279.0194  513.4867  654.9180    1.0181   20.8969  999.2646
   65.8200  -25.9600    0.0000    0.0000  270.5081    3.0197  279.3029  518.2582  659.0075    1.0242   21.0081  998.5722
   65.6900  -26.1200    0.0000    0.0000  270.7421    3.1018  279.6851  533.2340  670.1571    1.0259   21.0284  997.6912
   65.5600  -26.2900    0.0000    0.0000  270.9741    3.1595  279.8824  542.7179  672.7955    1.0334   21.1153  996.8641
   65.4400  -26.4600    0.0000    0.0000  271.3445    3.2395  280.0722  551.7537  668.5610    1.0466   21.2981  995.8799
   65.3100  -26.6200    0.0000    0.0000  272.0043    3.3878  279.9132  512.7813  606.8754    1.0489   21.4002  994.9208
   65.1500  -26.8300    0.0000    0.0000  272.6819    3.5362  279.7294  468.4500  538.1840    1.0446   21.3872  993.8617
