lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   64.4800  -31.5900    0.0000    0.0000  274.4467    4.0564  279.7298  284.9973  302.2513    0.8416   18.2560  984.5744
   64.5700  -31.7400    0.0000    0.0000  273.9814    3.8899  279.7983  310.9771  331.4845    0.8378   18.1452  985.2607
   64.6500  -31.8900    0.0000    0.0000  273.4720    3.7841  279.7579  323.4944  358.7574    0.8376   18.1035  985.8719
   64.7400  -32.0400    0.0000    0.0000  272.7849    3.5797  279.5754  344.4477  391.3684    0.8425   18.1510  986.5728
   64.8200  -32.1900    0.0000    0.0000  272.1469    3.4083  279.2413  345.5874  405.0982    0.8346   17.9881  987.2259
   64.9100  -32.3400    0.0000    0.0000  271.4430    3.2042  278.7729  348.7040  420.0421    0.8350   17.9775  987.8455
   64.9900  -32.5100    0.0000    0.0000  270.8297    2.9932  278.2122  350.5397  426.9045    0.8393   18.0476  988.4444
   65.0800  -32.6600    0.0000    0.0000  270.2299    2.7785  277.4423  340.4632  417.8596    0.8385   18.0449  989.0578
   65.1600  -32.8100    0.0000    0.0000  269.5391    2.6101  276.5735  317.0062  403.6542    0.8298   17.9049  989.6906
   65.2500  -32.9600    0.0000    0.0000  268.9228    2.4804  275.5953  284.7872  377.8436    0.8187   17.7346  990.2976
   65.3300  -33.1100    0.0000    0.0000  268.4561    2.3181  274.6522  260.8568  344.5446    0.8050   17.5281  990.8538
   65.4200  -33.2800    0.0000    0.0000  267.7681    2.1248  273.6973  240.3338  319.0400    0.7817   17.1302  991.5042
   65.5000  -33.4400    0.0000    0.2884  266.6329    1.6971  270.6042  171.3015  193.9079    0.7208   16.5514  992.1032
   65.5900  -33.5900    0.0000    0.3780  266.7881    1.7654  269.0475   99.1196   91.3649    0.6688   15.7907  992.7697
   65.6700  -33.7500    0.0000    0.3780  266.3908    1.7025  268.6412   93.3095   87.6736    0.6424   15.2414  993.3636
   65.7600  -33.9200    0.0000    0.5694  265.4349    1.5371  266.9272   72.8113   56.5391    0.6022   14.5534  993.9221
   65.8600  -34.1300    0.0000    0.6970  264.6998    1.4258  265.6937   57.4758   35.7920    0.5598   13.7029  994.4880
   65.8800  -34.5100    0.0000    0.8390  264.1394    1.3255  264.0044   37.5508   -4.6400    0.5247   13.0542  994.8314
   65.7900  -34.7200    0.0000    0.8166  264.2922    1.3508  264.2418   36.4668   -1.8396    0.4944   12.3320  994.8702
   65.7000  -34.9300    0.0000    0.7356  264.9341    1.4343  265.2493   41.1990    9.7817    0.4695   11.7098  994.9670
   65.6100  -35.1300    0.0000    0.9060  264.2820    1.3552  263.7406   24.8625  -15.5159    0.4335   10.9230  995.0693
   65.5200  -35.3400    0.0000    0.7880  264.5720    1.4414  264.7510   29.1151    4.6610    0.3992   10.0626  995.1549
   65.4200  -35.5400    0.0000    0.6986  264.2883    1.4768  265.2486   33.2524   24.2376    0.3837    9.6303  995.1896
   65.3300  -35.7400    0.0000    0.7498  263.3593    1.3741  264.2308   29.1514   21.7706    0.3770    9.4510  995.2420
   65.2500  -35.9400    0.0000    0.7436  263.3267    1.3271  264.2057   33.4473   23.1850    0.3982    9.9592  995.2925
   65.1600  -36.1300    0.0000    0.4560  264.8686    1.5078  267.4251   61.6945   69.0385    0.4301   10.6075  995.2922
   65.0700  -36.3400    0.0000    0.5684  265.0858    1.4659  266.6408   55.9226   44.2290    0.4461   11.0468  995.3447
   64.9500  -36.6400    0.0000    0.3230  266.4608    1.6328  268.9381   77.6515   71.3540    0.4719   11.5663  995.4009
   64.7200  -36.6800    0.0000    0.0000  267.7383    2.1164  272.2576  105.5207  136.9315    0.5248   12.4318  994.7949
   64.6200  -36.5100    0.0000    0.0000  268.2256    2.2808  272.9938  112.4887  150.3776    0.5493   12.9035  994.1686
   64.5300  -36.3300    0.0000    0.0000  269.0454    2.4917  273.8251  117.5482  154.9063    0.5678   13.2716  993.5318
   64.4400  -36.1500    0.0000    0.0000  270.2036    2.7224  274.7491  128.3745  155.8905    0.6063   14.0455  992.8730
   64.3400  -35.9800    0.0000    0.0000  271.0345    2.7592  275.7941  188.0945  199.7039    0.6796   15.3944  992.1281
   64.2500  -35.7900    0.0000    0.0000  271.6698    2.8348  276.6934  250.4079  249.2490    0.7405   16.4627  991.3105
   64.2500  -35.6200    0.0000    0.0000  272.0847    2.9761  277.0016  250.7489  248.1784    0.7519   16.6793  990.8825
   64.0500  -35.4500    0.0000    0.0000  273.2017    3.3307  277.9172  255.8779  244.9659    0.7726   17.0721  989.7185
   63.9200  -35.2000    0.0000    0.0000  273.6983    3.5903  278.3169  238.4984  235.9836    0.7640   16.9273  988.8212
   63.8900  -35.0300    0.0000    0.0000  273.7955    3.7127  278.5141  231.1297  239.2357    0.7598   16.8444  988.3710
   63.9700  -35.1500    0.0000    0.0000  273.6012    3.5558  278.3188  243.9820  242.0879    0.7664   16.9622  988.9191
   64.0600  -35.3100    0.0000    0.0000  273.2810    3.3730  278.0323  256.1301  246.8032    0.7728   17.0743  989.5247
   64.1400  -35.5000    0.0000    0.0000  272.7718    3.1979  277.6075  256.1435  249.4486    0.7671   16.9625  990.2159
   64.2700  -35.5000    0.0000    0.0000  272.1634    2.9938  277.0229  250.4757  246.1960    0.7544   16.7299  990.7822
   64.3300  -35.3200    0.0000    0.0000  272.2473    3.0060  276.9979  249.9360  242.5566    0.7592   16.8263  990.6182
   64.3900  -35.1500    0.0000    0.0000  272.2787    2.9911  276.9377  251.0989  239.7349    0.7640   16.9210  990.4788
   64.4400  -34.9700    0.0000    0.0000  272.2734    2.9934  276.9316  252.5562  241.5141    0.7688   17.0076  990.2993
   64.5000  -34.7900    0.0000    0.0000  272.1873    2.9970  276.9409  255.1186  248.8663    0.7748   17.1069  990.1211
   64.5600  -34.6100    0.0000    0.0000  272.0604    2.9811  276.8825  256.3382  254.2593    0.7790   17.1769  990.0280
   64.6100  -34.4300    0.0000    0.0000  271.9228    2.9695  276.8531  258.6959  262.0078    0.7836   17.2515  989.9168
   64.6700  -34.2500    0.0000    0.0000  271.8034    2.9613  276.8611  261.7232  270.3309    0.7871   17.3035  989.8176
   64.7300  -34.0700    0.0000    0.0000  271.6484    2.9470  276.8773  265.7635  280.9814    0.7904   17.3475  989.7435
   64.7800  -33.8900    0.0000    0.0000  271.4871    2.9285  276.9327  272.6280  294.5006    0.7944   17.4010  989.6845
   64.8400  -33.7100    0.0000    0.0000  271.2851    2.9085  277.0650  285.1897  316.4933    0.8023   17.5146  989.6021
   64.9000  -33.5300    0.0000    0.0000  271.0300    2.8772  277.1574  296.7253  338.7261    0.8079   17.5874  989.5856
   64.9500  -33.3500    0.0000    0.0000  270.7283    2.8357  277.1444  304.5577  357.7370    0.8130   17.6541  989.5639
   65.0000  -33.1600    0.0000    0.0000  270.5109    2.8170  277.2323  315.9689  380.0211    0.8219   17.7895  989.4767
   65.0700  -32.9200    0.0000    0.0000  270.1860    2.7453  277.2325  330.7202  404.2070    0.8312   17.9291  989.4036
   65.0500  -32.5600    0.0000    0.0000  270.4352    2.8502  277.7365  346.4031  423.9122    0.8407   18.0776  988.8096
   64.9100  -32.4000    0.0000    0.0000  271.3422    3.1726  278.7069  349.5996  422.2850    0.8351   17.9764  987.9702
   64.8200  -32.2000    0.0000    0.0000  272.1292    3.4047  279.2299  345.1628  405.1623    0.8341   17.9781  987.2490
   64.7300  -32.0100    0.0000    0.0000  272.8409    3.5988  279.5942  342.7049  389.0278    0.8423   18.1503  986.5188
   64.6300  -31.8400    0.0000    0.0000  273.6210    3.8110  279.7760  320.2227  350.5370    0.8365   18.0953  985.7062
   64.4900  -31.6400    0.0000    0.0000  274.3866    4.0401  279.7366  287.1357  305.5650    0.8403   18.2273  984.6794
