lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   64.7300  -34.0700    0.0000    0.0000  271.5538    2.9037  276.8773  260.8687  274.8273    0.7806   17.5342  989.7761
   64.7800  -33.8900    0.0000    0.0000  271.3785    2.8899  276.9327  266.2140  287.8438    0.7829   17.5582  989.7151
   64.8400  -33.7100    0.0000    0.0000  271.2038    2.8764  277.0650  276.3548  306.3345    0.7882   17.6312  989.6275
   64.9000  -33.5300    0.0000    0.0000  270.9533    2.8412  277.1574  288.3293  327.8203    0.7948   17.7253  989.6096
   64.9500  -33.3500    0.0000    0.0000  270.6778    2.7930  277.1444  297.2647  345.2179    0.8010   17.8181  989.5814
   65.0000  -33.1600    0.0000    0.0000  270.4984    2.7896  277.2323  305.2062  363.3589    0.8079   17.9240  989.4883
   65.0700  -32.9200    0.0000    0.0000  270.1861    2.7174  277.2325  319.6450  386.0492    0.8175   18.0763  989.4199
   65.0500  -32.5600    0.0000    0.0000  270.3723    2.8015  277.7365  339.7880  411.0657    0.8311   18.3007  988.8262
   64.9100  -32.4000    0.0000    0.0000  271.2068    3.1066  278.7069  347.4526  416.2059    0.8299   18.2706  987.9827
   64.8200  -32.2000    0.0000    0.0000  272.0089    3.3559  279.2299  339.0370  396.7667    0.8255   18.2110  987.2509
   64.7300  -32.0100    0.0000    0.0000  272.7924    3.5595  279.5942  332.6254  374.1502    0.8282   18.2927  986.5251
   64.6300  -31.8400    0.0000    0.0000  273.5065    3.7845  279.7760  314.1615  346.2711    0.8327   18.4136  985.7285
   64.4900  -31.6400    0.0000    0.0000  274.2250    3.9829  279.7366  285.9599  304.8867    0.8354   18.5233  984.7053
