5-Mar	276	65.76	-33.92	10.95	11.41	2.6	1.69	1.69	268.14	265.1	265.46	56.8	46.91	62.5	43.81	74.2	53.94	79.09	53.97
5-Mar	276	65.86	-34.13	10.94	11.32	2.35	1.72	1.64	266.85	265.23	265.35	76.86	36.13	47.52	33.87	80.49	30.04	43.37	29.83
5-Mar	276	65.88	-34.51	7.64	8.52	1.99	1.59	1.59	264.69	NaN	264.57	28.94	14.57	18.64	13.72	NaN	1.59	2.22	1.92
5-Mar	276	65.79	-34.72	6.58	7.15	1.84	1.6	1.59	263.69	NaN	264	19.34	6.92	8.27	6.92	17.79	-4.17	-5.4	-3.59
5-Mar	276	65.7	-34.93	7.22	6.83	1.61	1.54	1.52	262	NaN	263.4	8.24	1.3	1.33	1.79	NaN	-14.73	-16	-14.72
5-Mar	276	65.61	-35.13	7.05	6.77	1.61	1.54	1.52	262.03	NaN	263.46	11.31	1.57	1.57	1.97	NaN	-14.6	-15.59	-14.76
5-Mar	276	65.52	-35.34	6.76	6.61	1.68	1.54	1.53	262.58	NaN	263.79	12.65	3.01	3.09	3.38	NaN	-12.48	-13.67	-12.38
5-Mar	276	65.42	-35.54	6.95	7.24	1.86	1.57	1.58	263.83	NaN	264.45	17.62	7.75	8.93	7.6	11.19	-7.81	-9.73	-7.22
5-Mar	276	65.33	-35.74	7.65	8.07	2	1.63	1.62	264.74	NaN	265.05	29.02	12.28	15.03	11.81	22.23	-4.59	-6.11	-4.07
5-Mar	276	65.25	-35.94	6.85	7.75	2.71	1.79	1.75	268.7	NaN	265.78	54.92	35.33	48.77	32.37	NaN	41.64	63.73	40.88
5-Mar	276	65.16	-36.13	9.01	9.58	3.86	1.97	1.97	273.47	266.37	266.86	108.58	87.9	122.34	80.27	135.73	116.03	179.35	115.93
5-Mar	276	65.07	-36.34	NaN	10.84	3.97	NaN	2.03	273.86	NaN	267.73	NaN	99.77	136.76	91.81	NaN	119.34	181.11	119.83
5-Mar	276	64.95	-36.64	10.74	10.87	3.99	2.12	2.13	273.94	268.13	268.57	105.99	94.82	129.42	87.35	116.85	104.05	157.1	104.23
5-Mar	276	64.72	-36.68	11.49	11.74	4.25	2.42	2.37	274.77	269.52	269.8	148.4	100.8	136.26	93.66	165.83	102.7	153.2	103.33
5-Mar	276	64.62	-36.51	12.17	12.29	4.06	2.44	2.42	274.17	269.73	269.94	123.47	90.92	121.93	85.03	149.7	90.7	134.05	91.6
5-Mar	276	64.53	-36.33	13.18	13.02	3.77	2.45	2.44	273.12	269.87	270.16	91.64	75.85	100.38	72.1	96.81	66.72	97.06	67.4
