lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   65.1200  -25.8400    0.1523    0.0000  277.0657    4.7617  279.1499  126.5636   97.1256    0.6541   15.0625  970.6467
   65.2000  -26.0500    0.1295    0.0000  276.9922    4.7481  279.3202  141.9385  111.7454    0.6901   15.7164  970.8562
   65.2700  -26.2500    0.1057    0.0000  276.9185    4.7339  279.4866  157.1316  126.1808    0.7255   16.3601  971.0651
   65.3600  -26.4300    0.0538    0.0000  276.7089    4.6749  279.5590  175.5657  145.4013    0.7664   17.0918  971.4834
   65.4500  -26.5500    0.0000    0.0000  276.4116    4.5858  279.4799  190.6149  163.4034    0.7995   17.6700  971.9886
   65.5200  -26.7700    0.0000    0.0000  276.1248    4.5099  279.3294  199.3290  177.8652    0.8209   18.0240  972.3892
   65.5700  -27.0300    0.0000    0.0000  275.9104    4.4552  279.2450  206.1357  189.1541    0.8339   18.2400  972.6830
   65.6700  -27.3600    0.0439    0.0182  275.1985    4.2609  278.6366  212.7451  204.3325    0.8721   18.9271  973.4435
