lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   65.1200  -25.8400    0.0188    0.0000  276.6515    4.6328  278.8133  139.6708  107.5525    0.7610   17.0988  970.5828
   65.2000  -26.0500    0.0000    0.0000  276.4348    4.5893  279.0261  172.5830  143.0537    0.8223   18.1395  971.0198
   65.2700  -26.2500    0.0000    0.0000  276.0827    4.5150  279.3508  221.8872  199.6517    0.8889   19.2167  971.6302
   65.3600  -26.4300    0.0000    0.0000  275.6975    4.4207  279.5752  264.7474  250.4230    0.9333   19.9075  972.2056
   65.4500  -26.5500    0.0000    0.0000  275.3474    4.3268  279.7823  301.6506  294.0816    0.9557   20.2306  972.7466
   65.5200  -26.7700    0.0000    0.0000  274.8286    4.1853  279.8807  342.1702  346.5031    0.9793   20.5679  973.4561
   65.5700  -27.0300    0.0000    0.0000  274.4333    4.0745  279.7646  351.1984  364.7203    0.9768   20.5003  974.0479
   65.6700  -27.3600    0.0000    0.0000  273.6698    3.8635  279.3480  359.8291  392.1385    0.9821   20.5621  975.1030
