lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   64.4800  -31.5900    0.0000    0.0000  273.7428    3.8394  279.7365  325.4911  353.9377    0.8606   18.5280  985.5460
   64.5700  -31.7400    0.0000    0.0000  273.4773    3.7799  279.7672  337.5040  373.2374    0.8640   18.5656  985.9827
   64.6500  -31.8900    0.0000    0.0000  273.0087    3.6325  279.5917  350.1558  392.8720    0.8663   18.5822  986.5972
   64.7400  -32.0400    0.0000    0.0000  272.6413    3.4979  279.3854  358.9800  404.4413    0.8685   18.6021  987.0081
   64.8200  -32.1900    0.0000    0.0000  271.9578    3.2553  278.9268  365.8417  415.8851    0.8635   18.4946  987.7683
   64.9100  -32.3400    0.0000    0.0000  271.1883    2.9877  278.3840  370.3527  425.9093    0.8559   18.3421  988.5943
   64.9900  -32.5100    0.0000    0.0000  270.5678    2.7730  277.9185  370.3306  429.7945    0.8457   18.1529  989.2769
   65.0800  -32.6600    0.1187    0.0194  270.0756    2.6122  277.2439  354.0244  411.5562    0.8273   17.8669  989.7648
   65.1600  -32.8100    0.5232    0.0855  269.3765    2.3912  275.7544  307.9041  352.4752    0.7881   17.3096  990.3946
   65.2500  -32.9600    0.9477    0.1497  268.8523    2.2303  274.3718  261.7615  292.5152    0.7539   16.8410  990.7947
   65.3300  -33.1100    1.1048    0.2355  268.1186    1.9995  272.4364  200.9156  211.8612    0.6985   15.9854  991.4971
   65.4200  -33.2800    1.1046    0.3299  267.3343    1.7558  270.3563  137.3615  127.1723    0.6372   15.0167  992.2686
   65.5000  -33.4400    0.8433    0.3735  266.9558    1.6354  269.3511  108.9286   88.2845    0.6031   14.4325  992.7223
   65.5900  -33.5900    0.4421    0.4393  266.5075    1.5477  268.4170   96.6374   69.4281    0.5735   13.8288  993.1215
   65.6700  -33.7500    0.0488    0.5500  265.8095    1.4273  266.9911   78.6328   42.5222    0.5341   13.0336  993.6126
   65.7600  -33.9200    0.0000    0.6620  265.1725    1.3389  265.7282   63.7188   21.2541    0.5072   12.5019  993.8859
   65.8600  -34.1300   10.7468    0.8348  264.3827    1.2067  263.9095   42.2685  -10.7920    0.4572   11.4818  994.3039
   65.8800  -34.5100   27.2548    0.9061  264.3152    1.1420  263.2673   32.1360  -27.6065    0.4099   10.4680  994.6651
   65.7900  -34.7200   26.1141    0.7860  265.0968    1.2179  264.6003   42.7132  -12.1465    0.4073   10.3683  994.7015
